pegy,insider,sentiment,vix,regime_code,time_of_day,regime,conviction,confidence,should_trade,expected_return
0.679,0.6637,0.9512,15.46,0,0.7313,bull,0.8825,0.9913,1,0.0792
0.0053,0.1036,0.1259,66.71,3,0.9837,crisis,0.0342,0.9986,0,-0.0098
0.4356,0.512,0.5182,15.22,2,0.4649,sideways,0.541,0.9993,0,-0.014
0.7616,0.9369,0.7885,11.69,0,0.8899,bull,0.965,0.997,1,0.101
1.0,0.8833,0.8321,18.63,0,0.4725,bull,1.0,0.9975,1,0.1288
0.6613,0.585,0.6603,14.59,2,0.9604,sideways,0.6671,0.9994,0,-0.025
0.7736,0.7137,0.6684,19.13,0,0.6337,bull,0.8448,0.9991,1,0.0317
0.4198,0.4273,0.2546,27.47,2,0.3125,sideways,0.4265,0.9968,0,-0.0236
0.6617,0.8816,0.8469,9.46,0,0.3435,bull,0.9321,0.9953,1,0.1001
0.5435,0.85,0.5606,19.29,2,0.4689,sideways,0.6792,0.9901,0,-0.0186
0.1884,0.0848,0.5742,45.18,1,0.4692,bear,0.2154,0.9778,0,-0.0043
0.7271,0.1462,0.6918,20.28,2,0.421,sideways,0.5546,0.9646,0,-0.0056
0.0672,0.0367,0.1989,98.85,3,0.7982,crisis,0.0248,0.9975,0,0.0
0.9398,0.6616,0.66,11.1,0,0.0353,bull,0.8956,0.9913,1,0.0694
0.0,0.0413,0.094,73.25,3,0.7494,crisis,0.0228,0.9993,0,-0.0087
0.5544,0.4978,0.4128,10.18,2,0.5637,sideways,0.5536,0.9983,0,-0.0158
0.6041,0.7932,0.8864,19.69,0,0.4732,bull,0.8755,0.9931,1,0.0902
0.73,0.5956,0.6379,7.46,0,0.0516,bull,0.8004,0.9984,1,0.0799
0.1325,0.0,0.0674,66.33,3,0.8089,crisis,0.0321,0.9985,0,-0.0096
0.4601,0.1804,0.0,43.11,1,0.2868,bear,0.1942,0.9821,0,-0.0116
0.7163,0.5745,0.7826,15.33,0,0.5056,bull,0.8164,0.9962,1,0.0628
0.5619,0.4355,0.427,26.9,2,0.2778,sideways,0.5156,0.9981,0,-0.0044
0.874,0.9452,0.8289,19.64,0,0.281,bull,1.0,0.9989,1,0.0684
0.5306,0.4726,0.7517,24.64,2,0.0142,sideways,0.6019,0.9928,0,-0.0163
0.8059,0.7335,0.8181,9.91,0,0.1746,bull,0.9217,0.9993,1,0.0915
0.2658,0.3065,0.1551,39.15,1,0.1511,bear,0.2112,0.998,0,0.0017
0.1423,0.0544,0.2897,37.28,1,0.8078,bear,0.1579,0.9953,0,-0.0189
0.7658,0.399,0.5988,25.27,0,0.7008,bull,0.7029,0.9888,1,0.0498
0.188,0.3336,0.4135,54.94,1,0.7994,bear,0.2292,0.9956,0,-0.0113
0.6465,0.1942,0.3416,20.82,2,0.3428,sideways,0.4564,0.9823,0,-0.0067
0.6132,0.7519,0.6564,13.62,0,0.1451,bull,0.8087,0.9983,1,0.0822
0.2409,0.0004,0.0443,70.89,3,0.1542,crisis,0.0381,0.9945,0,-0.0103
0.2013,0.4581,0.3695,49.06,1,0.9936,bear,0.2566,0.9943,0,-0.0227
0.6751,0.077,0.6251,24.67,2,0.2379,sideways,0.4949,0.9633,0,-0.0143
0.4909,0.2374,0.3125,48.4,1,0.6376,bear,0.2618,0.9943,0,0.0219
0.9517,0.8402,0.6131,15.72,0,0.7344,bull,0.9398,0.9901,1,0.0717
0.8733,0.7281,0.5813,15.41,0,0.6423,bull,0.8655,0.9929,1,0.0561
0.5227,0.3711,0.5041,23.75,2,0.116,sideways,0.5085,0.9977,0,-0.0105
0.6914,0.7407,0.8546,9.46,0,0.3987,bull,0.8959,0.9977,1,0.0844
0.9476,0.8147,0.7587,18.2,0,0.7462,bull,0.9672,0.9969,1,0.1025
0.613,0.1964,0.267,25.02,2,0.5325,sideways,0.422,0.9834,0,-0.0251
0.8102,0.6296,0.6006,16.75,0,0.7056,bull,0.813,0.9957,1,0.0666
0.6166,0.125,0.588,48.52,1,0.1451,bear,0.3127,0.9746,0,-0.0166
0.6199,0.5849,0.5054,21.33,2,0.0119,sideways,0.6058,0.9989,0,-0.016
0.0674,0.2639,0.1276,74.2,3,0.4488,crisis,0.051,0.9966,0,-0.0072
0.3398,0.0,0.5573,46.21,1,0.9618,bear,0.2254,0.9737,0,-0.012
0.3646,0.2973,0.4534,50.38,1,0.041,bear,0.2705,0.998,0,-0.0028
0.2851,0.2825,0.134,63.77,3,0.6374,crisis,0.0774,0.9975,0,0.0067
0.1262,0.079,0.0,78.38,3,0.4318,crisis,0.0282,0.9986,0,-0.0085
0.0,0.218,0.1002,100.0,3,0.8584,crisis,0.0271,0.996,0,-0.0157
0.6847,0.525,0.9417,13.14,0,0.2671,bull,0.8379,0.9853,1,0.0531
0.856,0.4239,0.8438,23.91,0,0.6543,bull,0.8154,0.9798,1,0.0744
0.8457,0.874,1.0,21.05,0,0.7732,bull,1.0,0.9978,1,0.1088
0.6356,0.3671,0.6164,14.97,2,0.7343,sideways,0.5825,0.9925,0,-0.0137
0.0,0.3303,0.1712,56.11,1,0.1949,bear,0.1454,0.9909,0,-0.0061
0.9186,0.4833,0.9058,25.53,0,0.6903,bull,0.8725,0.9795,1,0.0898
0.8686,0.7339,0.6713,18.81,0,0.5476,bull,0.8859,0.9966,1,0.0471
0.2373,0.0,0.1593,51.42,1,0.8317,bear,0.1287,0.9951,0,-0.0049
0.7576,0.7341,0.4671,13.14,0,0.0977,bull,0.7988,0.9913,1,0.0461
0.6511,0.8199,0.6209,11.98,0,0.4459,bull,0.8379,0.9962,1,0.0258
0.7059,0.4824,0.7619,10.24,0,0.2833,bull,0.7838,0.9927,1,0.0589
0.7283,1.0,0.8246,5.8,0,0.0237,bull,0.9958,0.9937,1,0.0739
0.7583,0.514,0.3047,21.75,0,0.9385,bull,0.6615,0.9828,0,-0.0028
0.3781,0.1285,0.3855,37.96,1,0.8355,bear,0.239,0.9929,0,-0.008
0.0579,0.3774,0.0,87.32,3,0.6381,crisis,0.0449,0.9862,0,-0.0096
0.4266,0.5251,0.61,26.83,2,0.12,sideways,0.5477,0.9972,0,-0.0069
0.3664,0.5083,0.7725,26.74,2,0.1299,sideways,0.5654,0.9858,0,-0.0009
0.4194,0.3899,0.5318,40.43,1,0.8999,bear,0.3255,0.9981,0,-0.0236
0.3104,0.0865,0.089,37.8,1,0.9672,bear,0.1642,0.9945,0,0.0149
0.5204,0.5543,0.3166,10.78,2,0.6957,sideways,0.5354,0.9945,0,-0.0182
0.9657,0.7669,0.8398,18.69,0,0.467,bull,0.9794,0.9966,1,0.0841
0.2888,0.0551,0.2906,79.42,3,0.6388,crisis,0.062,0.9939,0,-0.0279
0.0752,0.0,0.2663,74.75,3,0.2764,crisis,0.0381,0.9937,0,-0.0323
0.3564,0.1426,0.0032,61.78,1,0.9034,bear,0.1455,0.9895,0,-0.0089
0.456,0.4401,0.273,13.48,2,0.3234,sideways,0.4669,0.9966,0,0.0028
0.6789,0.7044,0.4434,8.41,0,0.074,bull,0.7627,0.9931,1,0.0647
0.5567,0.763,0.7014,18.85,2,0.3828,sideways,0.693,0.9963,0,-0.0053
0.7025,1.0,0.9224,15.85,0,0.0601,bull,0.9977,0.9921,1,0.1035
0.2945,0.2369,0.3059,53.06,3,0.2647,crisis,0.0919,0.9995,0,-0.0054
0.2227,0.6013,0.6093,45.33,1,0.4917,bear,0.3371,0.9837,0,0.0054
0.3283,0.1612,0.3972,74.69,3,0.6103,crisis,0.0852,0.9951,0,-0.0121
0.8799,0.6292,0.7628,22.05,0,0.4921,bull,0.8744,0.9948,1,0.0753
0.4957,0.7735,0.6456,19.33,0,0.7687,bull,0.7626,0.9936,1,0.0665
0.9707,0.8815,0.9135,11.65,0,0.6433,bull,1.0,0.9993,1,0.1161
0.3468,0.0467,0.33,69.51,3,0.7154,crisis,0.0739,0.9905,0,-0.0185
0.7944,0.8432,0.8868,10.19,0,0.0729,bull,0.9748,0.9993,1,0.1037
0.1972,0.0,0.1143,37.49,1,0.2506,bear,0.127,0.9967,0,-0.0048
0.4728,0.0,0.3704,33.23,1,0.8965,bear,0.2342,0.9794,0,-0.0037
0.6566,0.4897,0.8699,12.07,0,0.6403,bull,0.7973,0.9879,1,0.0531
0.0,0.292,0.2321,75.05,3,0.6646,crisis,0.0549,0.9921,0,-0.0253
0.9314,0.5667,0.682,26.56,0,0.7001,bull,0.8396,0.9884,1,0.0539
0.2242,0.2343,0.189,77.82,3,0.5746,crisis,0.0654,0.9998,0,-0.0062
0.3408,0.2396,0.6023,31.87,1,0.9399,bear,0.2988,0.9883,0,0.0002
0.4234,0.3897,0.5234,44.07,1,0.4361,bear,0.3211,0.9984,0,-0.0287
0.4892,0.3513,0.3902,13.79,2,0.7809,sideways,0.479,0.9983,0,-0.0148
0.4105,0.1434,0.605,31.1,2,0.5401,sideways,0.4208,0.9821,0,-0.0039
0.7196,0.6891,0.6869,15.45,0,0.9542,bull,0.8293,0.9999,1,0.0651
0.3738,0.7524,0.2769,23.59,2,0.4821,sideways,0.5217,0.979,0,-0.011
0.5851,0.3182,0.228,42.52,1,0.935,bear,0.2899,0.9885,0,-0.0096
0.5786,0.5466,0.4823,10.39,0,0.6818,bull,0.6814,0.9992,0,-0.0091
0.345,0.0,0.2726,50.63,1,0.6323,bear,0.172,0.989,0,-0.0116
0.0866,0.0882,0.0959,68.63,3,0.0907,crisis,0.037,1.0,0,-0.0083
0.6462,0.1013,0.2364,44.48,1,0.9609,bear,0.2566,0.9732,0,-0.0169
0.9147,0.2258,0.6703,19.09,0,0.4596,bull,0.7258,0.9593,1,0.0393
0.3769,0.5661,0.636,21.05,2,0.6478,sideways,0.5603,0.994,0,-0.018
0.8184,0.6196,0.8618,22.42,0,0.0393,bull,0.8777,0.9944,1,0.0234
0.7667,0.3529,1.0,12.66,0,0.191,bull,0.8244,0.9642,1,0.0798
0.2947,0.0894,0.1156,60.86,1,0.8965,bear,0.142,0.9958,0,-0.0004
0.5915,0.2611,0.3576,42.33,1,0.3593,bear,0.3022,0.9904,0,-0.0129
0.5937,0.7168,0.6316,17.21,0,0.6328,bull,0.7765,0.9987,1,0.0587
0.5432,0.7513,0.4943,23.78,2,0.1399,sideways,0.6262,0.9938,0,0.0105
0.946,0.9306,0.704,16.15,0,0.7197,bull,0.9945,0.9939,1,0.0725
0.3748,0.3049,0.3047,55.27,1,0.4892,bear,0.243,0.9995,0,-0.0221
0.9952,0.8804,0.7394,14.26,0,0.5406,bull,1.0,0.9945,1,0.1096
0.9781,0.7203,0.7716,15.09,0,0.5339,bull,0.9543,0.9938,1,0.1265
0.4447,0.4956,0.7195,20.74,2,0.4493,sideways,0.5808,0.9929,0,0.0014
0.0589,0.1192,0.2984,68.24,3,0.037,crisis,0.0527,0.9948,0,-0.0115
0.7885,0.5022,0.6879,15.56,0,0.7878,bull,0.7887,0.993,1,0.0587
0.9421,1.0,0.6216,15.56,0,0.1182,bull,0.9944,0.9862,1,0.1124
0.7275,0.6078,0.5436,23.33,2,0.6673,sideways,0.6515,0.9971,0,-0.0033
0.1608,0.2886,0.5918,42.93,1,0.6781,bear,0.2579,0.9837,0,-0.0087
0.4636,0.1529,0.5031,21.51,2,0.149,sideways,0.4285,0.9877,0,-0.0151
0.1268,0.0739,0.4528,64.73,1,0.9248,bear,0.1584,0.986,0,0.0038
0.5483,0.8709,0.6505,12.09,0,0.1416,bull,0.8283,0.9909,1,0.0564
0.4059,0.4419,0.2804,44.19,1,0.4712,bear,0.2857,0.9976,0,-0.0054
0.2068,0.3264,0.0216,75.2,3,0.0458,crisis,0.0608,0.9921,0,-0.0207
0.4924,0.4661,0.493,16.0,2,0.1305,sideways,0.5368,0.9999,0,-0.0249
0.4358,0.6738,0.6853,11.62,0,0.05,bull,0.7323,0.9934,1,0.0729
0.6211,0.9834,0.9936,5.25,0,0.7937,bull,1.0,0.985,1,0.1018
0.24,0.0,0.0111,52.75,1,0.1707,bear,0.102,0.9939,0,0.0102
0.4354,0.3147,0.2957,61.83,1,0.8178,bear,0.2494,0.9981,0,0.0115
0.662,0.3,0.4353,21.61,0,0.4971,bull,0.5922,0.9888,0,-0.0105
0.5275,0.2314,0.387,18.52,2,0.2206,sideways,0.4466,0.9927,0,-0.0079
0.4402,0.3444,0.3823,26.04,2,0.4262,sideways,0.4419,0.9992,0,-0.0076
0.5918,0.3652,0.0569,17.38,2,0.9822,sideways,0.4253,0.976,0,-0.0187
0.3524,0.9071,0.439,72.36,1,0.3242,bear,0.3703,0.9703,0,-0.0043
0.087,0.2022,0.3281,93.3,3,0.576,crisis,0.0536,0.9952,0,-0.0158
0.788,0.4141,0.8737,22.77,0,0.8364,bull,0.7991,0.9801,1,0.0606
0.3999,0.554,0.5626,20.41,2,0.7642,sideways,0.5462,0.9972,0,-0.0082
0.2739,0.4492,0.4472,35.17,1,0.3355,bear,0.2982,0.9966,0,-0.0201
0.7118,0.8474,0.7722,11.78,0,0.1412,bull,0.9121,0.9985,1,0.0877
0.2504,0.4261,0.3666,41.85,1,0.6963,bear,0.2673,0.9973,0,-0.0077
0.4973,0.1361,0.3805,44.3,1,0.4387,bear,0.2581,0.9887,0,-0.0057
0.0845,0.1666,0.2608,65.63,3,0.0407,crisis,0.0576,0.9974,0,-0.0233
0.5563,0.4659,0.8393,7.97,0,0.8474,bull,0.7527,0.9873,1,0.0446
0.3927,0.3333,0.2229,46.91,1,0.7777,bear,0.2472,0.9975,0,-0.0089
0.7164,0.6578,1.0,19.05,0,0.487,bull,0.9012,0.9888,1,0.1299
0.6755,0.683,0.5502,10.95,0,0.1794,bull,0.7805,0.9981,1,0.0941
0.6717,1.0,0.5635,9.73,0,0.6518,bull,0.8945,0.9828,1,0.0721
0.4904,0.6385,0.5676,17.92,2,0.4162,sideways,0.6037,0.9982,0,-0.0113
0.4521,0.3628,0.3668,25.14,2,0.7726,sideways,0.4485,0.9992,0,-0.0283
0.5426,0.1814,0.1455,52.4,1,0.2062,bear,0.2275,0.9839,0,0.0049
0.4676,0.3504,0.5174,27.84,1,0.5231,bear,0.3381,0.9975,0,-0.0152
0.1633,0.4949,0.2233,53.45,1,0.9381,bear,0.2262,0.9896,0,-0.0046
0.1707,0.1326,0.5588,37.25,1,0.0376,bear,0.2274,0.9815,0,-0.0088
0.6326,0.6372,0.7431,11.09,0,0.4999,bull,0.8051,0.9987,1,0.0418
0.1786,0.0233,0.0689,65.61,3,0.6272,crisis,0.0388,0.9979,0,-0.0108
0.6416,0.726,0.3911,30.75,2,0.3479,sideways,0.6119,0.9899,0,-0.02
0.9125,0.5557,0.6194,11.28,0,0.2356,bull,0.8376,0.9879,1,0.0665
0.837,0.834,0.6084,10.05,0,0.5302,bull,0.9066,0.9943,1,0.063
0.7333,0.658,0.6075,16.35,0,0.3619,bull,0.7989,0.9987,1,0.105
0.4243,0.435,0.5839,17.21,2,0.5397,sideways,0.528,0.9973,0,-0.0033
0.6422,1.0,0.8017,11.9,0,0.7703,bull,0.949,0.9893,1,0.078
0.2229,0.5245,0.0462,38.32,1,0.2764,bear,0.2298,0.9805,0,-0.0156
0.7476,0.6458,0.5263,13.0,0,0.7966,bull,0.7821,0.9959,1,0.0544
0.2058,0.3874,0.4839,44.22,1,0.9686,bear,0.2678,0.9934,0,-0.0077
0.0,0.1658,0.501,40.77,1,0.1763,bear,0.1847,0.9783,0,-0.0174
0.6417,0.6138,0.3935,56.39,1,0.0431,bear,0.3783,0.9938,0,-0.0323
0.1819,0.156,0.2528,40.1,1,0.2851,bear,0.1781,0.9992,0,-0.0355
0.3579,0.3587,0.6204,37.12,1,0.3343,bear,0.3251,0.9924,0,-0.0187
0.098,0.456,0.6352,16.94,2,0.7584,sideways,0.4496,0.9751,0,0.0114
0.7115,0.7294,0.5455,16.44,0,0.7404,bull,0.7981,0.9966,1,0.02
0.2194,0.2587,0.2859,64.8,3,0.1759,crisis,0.0803,0.9996,0,-0.0084
0.5846,0.5663,0.3702,8.04,2,0.4851,sideways,0.5758,0.9953,0,-0.0065
0.7271,0.5867,0.8646,14.78,0,0.8951,bull,0.8488,0.9936,1,0.0434
0.2103,0.3307,0.859,23.61,2,0.5927,sideways,0.4916,0.9603,0,-0.0081
0.7228,0.6505,0.9251,12.55,0,0.1988,bull,0.8906,0.9932,1,0.0897
0.2477,0.638,0.4485,57.46,1,0.3257,bear,0.3092,0.9873,0,-0.0158
0.6587,0.4531,0.5165,28.18,2,0.3261,sideways,0.5704,0.9963,0,-0.0204
0.7805,0.7876,0.828,12.75,0,0.7377,bull,0.9296,0.9998,1,0.1276
0.3058,0.7188,0.6823,29.5,2,0.3755,sideways,0.5837,0.9826,0,-0.0259
0.6197,0.9984,0.4684,6.97,0,0.471,bull,0.8534,0.9752,1,0.0609
0.3288,0.5684,0.2629,38.92,1,0.8905,bear,0.2986,0.9914,0,-0.0069
0.8204,0.7882,0.7233,5.22,0,0.9279,bull,0.9264,0.9992,1,0.0669
0.513,0.2874,0.2355,56.18,1,0.3873,bear,0.2553,0.9927,0,-0.0213
0.7162,0.7276,0.6838,15.5,0,0.7198,bull,0.8404,0.9998,1,0.0643
0.0901,0.2863,0.0343,46.66,1,0.9756,bear,0.1411,0.9942,0,0.0037
0.7078,0.4657,0.731,10.84,0,0.1272,bull,0.7688,0.9928,1,0.0657
0.2778,0.592,0.5326,43.47,1,0.0597,bear,0.3352,0.9907,0,-0.0028
0.691,0.7068,0.6958,18.83,0,0.8517,bull,0.8223,1.0,1,0.0931
0.4198,0.4344,0.4846,50.51,1,0.1712,bear,0.3161,0.9996,0,-0.0214
1.0,1.0,0.7149,13.15,0,0.8864,bull,1.0,0.991,1,0.1122
0.3826,0.2096,0.05,48.06,1,0.7895,bear,0.1877,0.9908,0,-0.0045
0.4089,0.3199,0.2458,54.94,1,0.6115,bear,0.2434,0.9978,0,-0.0093
0.6803,0.6639,0.4881,14.09,0,0.9701,bull,0.7523,0.9962,1,0.0642
0.551,0.7281,0.4606,22.44,2,0.0865,sideways,0.6152,0.9938,0,-0.0021
0.8514,0.5217,0.3434,24.24,2,0.4892,sideways,0.6114,0.9779,0,0.0087
0.1177,0.2762,0.2729,85.17,3,0.5916,crisis,0.0626,0.9973,0,-0.0087
0.3952,0.4878,0.5688,24.54,2,0.2792,sideways,0.5203,0.9975,0,-0.0067
0.443,0.5833,0.629,21.9,2,0.7362,sideways,0.5823,0.9969,0,-0.0184
0.7228,0.8896,0.5425,5.0,0,0.3273,bull,0.8761,0.99,1,0.1054
0.3767,0.3713,0.0846,52.38,1,0.8918,bear,0.2219,0.9907,0,-0.0072
0.0624,0.5349,0.3317,41.04,1,0.149,bear,0.2454,0.9813,0,-0.0138
0.0,0.3687,0.3524,43.06,1,0.0051,bear,0.1989,0.9855,0,0.0028
0.0116,0.0605,0.065,72.21,3,0.0401,crisis,0.0239,0.9997,0,-0.0093
0.3645,0.1806,0.1245,61.86,1,0.7686,bear,0.1763,0.9947,0,0.0141
0.7715,0.5486,0.9713,7.77,0,0.5311,bull,0.8938,0.9851,1,0.0721
0.1956,0.0181,0.244,36.36,1,0.798,bear,0.1544,0.9953,0,-0.0099
0.5041,0.4068,0.4444,18.85,2,0.4524,sideways,0.5061,0.9992,0,-0.0019
0.7277,0.8649,0.8379,17.86,0,0.5585,bull,0.9321,0.9982,1,0.1142
0.5821,0.6054,1.0,13.71,0,0.7318,bull,0.846,0.9816,1,0.0129
0.1297,0.1702,0.0,88.34,3,0.1327,crisis,0.0322,0.9974,0,-0.0171
0.7993,0.6548,0.5567,9.65,0,0.6476,bull,0.8176,0.995,1,0.0448
0.9129,0.6705,0.6717,10.33,0,0.4798,bull,0.8941,0.9935,1,0.1027
0.9696,0.9369,0.8239,16.45,0,0.7033,bull,1.0,0.998,1,0.0757
0.4631,0.3974,0.2262,25.29,2,0.7473,sideways,0.4268,0.995,0,-0.017
0.9294,0.8763,0.8335,18.06,0,0.4548,bull,1.0,0.9992,1,0.0877
0.7787,0.5065,0.5453,16.75,2,0.8742,sideways,0.6467,0.9928,0,-0.0193
0.3716,0.2935,0.1421,30.62,1,0.7899,bear,0.2374,0.9955,0,-0.0227
0.9294,0.5773,0.6992,22.25,0,0.4643,bull,0.855,0.9893,1,0.0485
0.191,0.0962,0.6236,64.93,1,0.8604,bear,0.2063,0.9737,0,-0.0025
0.8675,0.5839,1.0,16.34,0,0.8934,bull,0.9326,0.9849,1,0.1036
0.7342,0.6464,0.9995,17.7,0,0.0327,bull,0.9056,0.9887,1,0.1101
0.3383,0.0803,0.1833,46.03,1,0.2698,bear,0.1767,0.9944,0,-0.0163
0.0393,0.3302,0.0955,76.38,3,0.5424,crisis,0.051,0.9921,0,-0.007
0.4118,0.7176,0.3324,21.31,2,0.7877,sideways,0.54,0.9862,0,-0.0075
0.7419,0.4406,0.8806,18.72,0,0.8808,bull,0.8013,0.9831,1,0.0468
0.6061,0.5562,0.3079,15.73,2,0.0548,sideways,0.5521,0.9915,0,0.0014
0.1809,0.0654,0.0642,69.85,3,0.6747,crisis,0.0405,0.9985,0,-0.0144
0.3731,0.2387,0.671,24.85,2,0.111,sideways,0.464,0.9837,0,-0.0227
0.7704,0.5196,0.7108,13.28,0,0.6191,bull,0.799,0.9943,1,0.0512
1.0,0.6119,0.6288,11.19,0,0.1753,bull,0.8901,0.984,1,0.0989
0.0522,0.0975,0.5894,47.44,1,0.067,bear,0.1898,0.9704,0,-0.0081
0.8198,0.537,0.3938,18.59,2,0.2047,sideways,0.6276,0.9843,0,-0.0214
0.2756,0.2362,0.2624,87.13,3,0.2386,crisis,0.0715,0.9999,0,-0.0141
0.6083,0.6897,0.6191,15.82,0,0.4785,bull,0.771,0.9993,1,0.0768
0.1332,0.1725,0.1406,83.03,3,0.5801,crisis,0.0457,0.9999,0,-0.0167
0.0,0.2206,0.2488,79.46,3,0.2098,crisis,0.0478,0.9938,0,-0.0164
0.3297,0.5742,0.5212,19.37,2,0.2254,sideways,0.5224,0.9945,0,0.0082
0.608,1.0,0.7548,5.82,0,0.2674,bull,0.9342,0.9869,1,0.0833
0.4439,0.177,0.005,43.35,1,0.2771,bear,0.1908,0.9837,0,-0.0186
0.8238,0.8547,0.5916,11.47,0,0.3452,bull,0.9019,0.9931,1,0.0955
0.1712,0.0336,0.0643,48.52,1,0.5267,bear,0.1083,0.9983,0,-0.0069
0.6474,0.701,0.9791,10.13,0,0.7098,bull,0.9017,0.9894,1,0.0413
0.3683,0.2279,0.158,51.52,1,0.5329,bear,0.2038,0.9962,0,-0.0016
0.4188,0.5695,1.0,17.92,0,0.621,bull,0.77,0.9697,1,0.0675
0.6759,0.5026,0.6195,23.59,2,0.9454,sideways,0.623,0.9974,0,-0.0046
0.4517,0.5258,0.4117,20.06,2,0.9409,sideways,0.5161,0.9989,0,-0.0217
0.6314,0.6435,0.6084,12.47,0,0.8919,bull,0.7658,0.9999,1,0.0499
0.3603,0.4399,0.2072,58.35,1,0.0802,bear,0.248,0.9953,0,-0.0006
0.5756,0.523,0.5479,25.94,2,0.2884,sideways,0.5777,0.9998,0,0.0022
0.2835,0.1562,0.2055,88.44,3,0.1094,crisis,0.0602,0.9986,0,-0.0162
0.7022,0.7032,0.8849,19.58,0,0.6971,bull,0.878,0.9963,1,0.071
0.0737,0.2992,0.1163,30.1,1,0.875,bear,0.1721,0.9952,0,-0.0226
0.349,0.5222,0.3078,47.11,1,0.6273,bear,0.2923,0.9957,0,0.0018
0.5183,0.804,0.7483,17.83,0,0.9696,bull,0.8131,0.9924,1,0.0529
0.1773,0.2781,0.6298,53.61,1,0.132,bear,0.2546,0.9812,0,-0.0151
0.5489,0.3636,0.9474,10.22,0,0.4439,bull,0.742,0.9703,1,0.0419
0.4982,0.0,0.5985,42.46,1,0.2915,bear,0.2698,0.9658,0,-0.0215
0.7129,0.5555,0.8161,11.76,0,0.8718,bull,0.8244,0.9943,1,0.0267
0.7169,0.4287,0.7806,9.06,0,0.9474,bull,0.7765,0.9883,1,0.0455
0.3274,0.2075,0.3501,51.8,1,0.4117,bear,0.2242,0.998,0,-0.0216
0.7403,0.0341,0.7871,13.5,0,0.6461,bull,0.6427,0.9407,0,-0.0198
0.7974,0.9345,0.6786,10.28,0,0.5934,bull,0.9474,0.9945,1,0.0928
0.0997,0.1179,0.5445,45.62,1,0.8419,bear,0.1981,0.9789,0,-0.0288
0.0305,0.2824,0.4725,28.82,1,0.3041,bear,0.2231,0.9836,0,-0.0055
0.9496,1.0,0.7997,17.53,0,0.7893,bull,1.0,0.9964,1,0.0573
1.0,0.5849,0.61,13.72,0,0.26,bull,0.871,0.9819,1,0.1044
0.6312,0.2751,0.4996,45.43,1,0.9707,bear,0.335,0.9892,0,-0.0204
0.7215,0.4067,0.7303,26.49,2,0.0473,sideways,0.6313,0.9887,0,-0.0039
1.0,1.0,0.7237,10.96,0,0.4559,bull,1.0,0.9915,1,0.0627
1.0,0.6121,0.9203,11.29,0,0.9241,bull,0.9738,0.986,1,0.1255
0.395,0.3212,0.4687,17.34,2,0.2852,sideways,0.456,0.9982,0,-0.004
0.1449,0.2442,0.1209,68.35,3,0.8393,crisis,0.0583,0.9986,0,-0.0158
0.6067,0.295,0.0,39.8,1,0.6664,bear,0.2526,0.9693,0,-0.009
1.0,0.9057,0.6117,27.09,0,0.2379,bull,0.9591,0.9863,1,0.0912
0.9369,0.469,0.3903,7.96,0,0.3166,bull,0.756,0.9709,1,-0.0138
1.0,0.7429,0.6113,17.26,0,0.2604,bull,0.9198,0.987,1,0.0877
0.8431,0.9419,0.7065,10.6,0,0.5625,bull,0.9732,0.9953,1,0.1112
0.8703,0.7201,1.0,12.81,0,0.3169,bull,0.9866,0.9935,1,0.0793
0.8127,0.565,0.8243,10.83,0,0.3729,bull,0.8661,0.9928,1,0.0652
0.5836,0.1689,0.1402,56.71,1,0.1626,bear,0.228,0.9795,0,-0.0205
0.6461,0.8153,0.8908,21.1,0,0.9204,bull,0.8964,0.9948,1,0.0643
0.3894,0.1568,0.1789,57.03,1,0.4994,bear,0.1911,0.9945,0,-0.0155
0.7917,0.7311,0.5894,19.83,0,0.458,bull,0.8331,0.9964,1,0.0778
0.4521,0.7555,0.6341,20.49,0,0.0043,bull,0.7361,0.9922,1,0.0183
0.4465,0.5543,0.5082,23.81,2,0.9756,sideways,0.5416,0.999,0,-0.0252
0.9978,0.805,0.954,19.37,0,0.7055,bull,1.0,0.9966,1,0.0998
0.1074,0.1373,0.6179,58.85,1,0.2898,bear,0.2027,0.9726,0,-0.0162
0.0,0.1181,0.1212,72.5,3,0.9807,crisis,0.0321,0.9984,0,-0.0047
0.4314,0.4481,0.3891,26.99,1,0.1471,bear,0.3295,0.9997,0,-0.0134
0.6456,0.3248,0.3736,48.59,1,0.9069,bear,0.3231,0.99,0,-0.0058
0.0,0.2021,0.2924,57.81,1,0.6891,bear,0.1379,0.9925,0,-0.0095
0.253,0.5645,0.3794,13.92,2,0.9002,sideways,0.4692,0.9918,0,-0.0183
0.8314,0.9518,0.8224,18.16,0,0.551,bull,0.9928,0.9983,1,0.108
0.7652,0.8394,0.3872,15.56,0,0.4016,bull,0.8106,0.9804,1,0.0412
0.6744,0.4779,0.5046,12.47,2,0.446,sideways,0.6032,0.9962,0,0.0002
0.8441,0.8114,0.628,11.13,0,0.055,bull,0.905,0.9955,1,0.0855
0.1958,0.337,0.0,40.12,1,0.5834,bear,0.1748,0.9905,0,0.008
0.8159,0.7334,1.0,5.0,0,0.9357,bull,0.9859,0.9938,1,0.0809
0.6898,0.8717,0.8813,10.67,0,0.0225,bull,0.9462,0.9961,1,0.1092
0.2395,0.4923,0.0935,43.77,1,0.4455,bear,0.2291,0.9864,0,-0.0149
0.4584,0.1454,0.2915,50.07,1,0.0874,bear,0.2303,0.9918,0,-0.0045
